company,board_token,status,total_jobs,china_jobs,target_jobs
AlphaGrep Securities,alphagrepsecurities,snapshot,not_available_in_snapshot,9,0
Appier,appier,snapshot,not_available_in_snapshot,3,1
Flexport,flexport,snapshot,not_available_in_snapshot,15,0
Moloco,moloco,snapshot,not_available_in_snapshot,2,0
MongoDB,mongodb,snapshot,not_available_in_snapshot,3,0
SES AI,sesai,snapshot,not_available_in_snapshot,31,1
Speechify,speechify,snapshot,not_available_in_snapshot,7,0
The Trade Desk,thetradedesk,snapshot,not_available_in_snapshot,4,0
WorldQuant,worldquant,snapshot,not_available_in_snapshot,4,2
