skill,count
Python,16
Machine Learning,14
Linux,11
GCP,8
Data Analysis,8
Java,7
AWS,7
REST API,5
Node.js,5
Azure,5
Deep Learning,4
Docker,4
CI/CD,4
SQL,4
DevOps,4
Kubernetes,4
MongoDB,3
NLP,3
Cloud,3
TypeScript,2
Data Visualization,2
LLM,2
Kafka,2
Git,1
Generative AI,1
RAG,1
JavaScript,1
Spark,1
Data Engineering,1
Excel,1
Agentic AI,1
Power BI,1
Tableau,1
PyTorch,1
TensorFlow,1
